epoch,accuracy,loss,val_accuracy,val_loss
0,0.3736506998538971,1.3282506465911865,0.48991355299949646,1.2698657512664795
1,0.6548574566841125,0.9777693748474121,0.6772334575653076,0.8911350965499878
2,0.797121524810791,0.5694192051887512,0.7060518860816956,0.8028613924980164
3,0.845557689666748,0.41629865765571594,0.7002881765365601,0.787601113319397
4,0.8862441182136536,0.3247390389442444,0.680115282535553,0.8274823427200317
5,0.9086631536483765,0.2703009247779846,0.6974063515663147,0.8811573386192322
6,0.9225021004676819,0.2253883183002472,0.6772334575653076,0.9556660652160645
7,0.9418765306472778,0.18717455863952637,0.7002881765365601,1.0048507452011108
8,0.949349582195282,0.1618485301733017,0.6945244669914246,1.0314645767211914
9,0.9573761224746704,0.14057771861553192,0.6858789920806885,1.113519549369812
10,0.9637420177459717,0.1242799460887909,0.6829971075057983,1.1299713850021362
11,0.9656794667243958,0.11102654039859772,0.6858789920806885,1.1980834007263184
12,0.9673401713371277,0.10972422361373901,0.680115282535553,1.2376441955566406
13,0.9690008163452148,0.09769177436828613,0.6772334575653076,1.2826244831085205
14,0.9748131632804871,0.08825305104255676,0.6829971075057983,1.3136745691299438
15,0.972045361995697,0.0854869931936264,0.6685879230499268,1.364424705505371
16,0.973706066608429,0.08471570163965225,0.680115282535553,1.3472932577133179
17,0.973706066608429,0.07853394746780396,0.6829971075057983,1.40024995803833
18,0.977027416229248,0.07532664388418198,0.680115282535553,1.4223368167877197
19,0.9753667116165161,0.07519542425870895,0.6599423885345459,1.4862699508666992
20,0.975643515586853,0.07173550873994827,0.6714697480201721,1.4907684326171875
21,0.9778577089309692,0.06651386618614197,0.680115282535553,1.4769006967544556
22,0.977027416229248,0.06309670209884644,0.680115282535553,1.5220783948898315
23,0.9761970639228821,0.06615514308214188,0.6599423885345459,1.5720077753067017
24,0.9781345129013062,0.05995292589068413,0.6916426420211792,1.5192238092422485
